id,aid,condition,block,trial,event,stimulus_h,stimulus_s,pd,classification,time,score,human_p,system_p,system_output
2,Student,2,1,43,Blue,-0.1965066684756482,1.0981030855154523,False,Blue,07:24:50.922234,32.0,0.4,0.86,Blue
2,Student,2,1,44,Blue,1.7048181756406042,0.3404902563794419,False,Blue,07:24:52.541829,34.0,0.97,0.98,Blue
2,Student,2,1,45,Orange,-0.6446916654165955,-0.4203738566899009,False,Blue,07:24:54.047021,32.0,0.22,0.11,Orange
2,Student,2,1,46,Orange,-1.38950021374795,0.6075963749727007,False,Blue,07:24:55.379380,30.0,0.06,0.17,Blue
2,Student,2,1,47,Blue,1.320408230290652,1.011415168436831,False,Blue,07:24:56.931384,32.0,0.93,0.99,Blue
2,Student,2,1,48,Blue,0.6549215474051555,0.6907527192057383,False,Blue,07:24:58.203854,34.0,0.79,0.94,Blue
2,Student,2,1,49,Orange,-0.4401334066868476,-1.2769797109641297,False,Blue,07:24:59.676127,32.0,0.29,0.03,Orange
2,Student,2,1,50,Orange,-1.8346420624325857,-1.5268487390332632,False,Blue,07:25:01.352151,30.0,0.02,0.0,Orange
2,Student,2,2,1,Blue,2.0803545625249944,0.5608657766975482,False,Blue,07:25:06.553967,32.0,0.98,0.99,Blue
2,Student,2,2,2,Orange,-0.717897783681543,-0.6709332705453256,True,Blue,07:25:10.631313,29.9,0.19,0.06,Orange
2,Student,2,2,3,Blue,-0.2764490116729763,-0.281854955933644,False,Blue,07:25:12.021843,31.9,0.37,0.25,Orange
2,Student,2,2,4,Orange,-3.821223462689088,0.8331849214162754,False,Blue,07:25:13.376844,29.9,0.0,0.0,Blue
2,Student,2,2,5,Orange,0.4506447083025664,-0.0210910136447064,False,Blue,07:25:14.773325,27.9,0.71,0.7,Orange
2,Student,2,2,6,Orange,-2.119802638945674,-1.4061434999460762,False,Blue,07:25:16.080934,25.9,0.01,0.0,Orange
2,Student,2,2,7,Blue,0.2058389952870881,-0.1636548161643001,False,Blue,07:25:17.436766,27.9,0.6,0.52,Orange
2,Student,2,2,8,Blue,1.7291315660837512,0.5935381576324654,False,Blue,07:25:18.713051,29.9,0.97,0.99,Blue
2,Student,2,2,9,Orange,-2.1947576684826395,-1.6516231697246182,False,Blue,07:25:20.408053,27.9,0.01,0.0,Orange
2,Student,2,2,10,Orange,-0.2909066511748525,-1.909386827978872,False,Blue,07:25:21.777257,25.9,0.36,0.01,Orange
2,Student,2,2,11,Orange,-2.0167767478189838,-2.321135874330301,False,Blue,07:25:23.173790,23.9,0.02,0.0,Orange
2,Student,2,2,12,Blue,1.7353829191437802,1.1534266296468836,False,Blue,07:25:24.646259,25.9,0.97,1.0,Blue
2,Student,2,2,13,Blue,0.8123642166628784,0.5674911651163356,False,Blue,07:25:53.320059,27.9,0.84,0.94,Blue
2,Student,2,2,14,Orange,-1.517924218887639,0.4190379986186632,False,Blue,07:25:54.753504,25.9,0.05,0.1,Blue
2,Student,2,2,15,Orange,-0.544439396349605,0.4633244440809139,False,Blue,07:25:56.249925,23.9,0.25,0.46,Blue
2,Student,2,2,16,Orange,0.5526284672294124,-0.5734111983775774,False,Blue,07:25:57.808883,21.9,0.75,0.49,Orange
